     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,06/09/2012-06/15/2012,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,LIB SPEC SEN,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,                                                                                          
R087,CITY HALL                     ,00022349,00001148,00000087,00000273,00000016,00005670,00015683,00000000,00000000,00000000,00000000,00000252,00000000,00000066,00000456,00000270,00000152,00000000,00000174,00000000,00000000,00000000,00000000,                                                                                                                               
R088,CORTLANDT STREET              ,00024385,00000506,00000032,00000088,00000014,00007754,00009350,00000000,00000000,00000000,00000000,00000199,00000000,00000036,00000291,00000233,00000101,00000000,00000323,00000000,00000000,00000000,00000000,                                                                                                                               
R089,JAY ST-METROTECH              ,00008278,00000435,00000039,00000096,00000012,00002151,00005375,00000000,00000000,00000000,00000000,00000091,00000000,00000026,00000164,00000122,00000051,00000000,00000047,00000000,00000000,00000000,00000000,                                                                                                                               
R090,39TH AVENUE & 31ST STREET     ,00008392,00000285,00000023,00000090,00000006,00004755,00004354,00000000,00000000,00000000,00000000,00000030,00000000,00000004,00000648,00000045,00000039,00000000,00000067,00000000,00000000,00000000,00000000,                                                                                                                               
R091,36TH AVENUE & 31ST STREET     ,00017839,00000739,00000084,00000232,00000008,00007039,00018743,00000000,00000000,00000000,00000000,00000068,00000000,00000030,00000660,00000095,00000176,00000000,00000064,00000000,00000000,00000000,00000000,                                                                                                                               
R092,BROADWAY & 31ST STREET        ,00029467,00001554,00000147,00000399,00000012,00009592,00034788,00000000,00000000,00000000,00000000,00000130,00000000,00000031,00001474,00000235,00000287,00000000,00000106,00000000,00000000,00000000,00000000,                                                                                                                               
R093,30TH AVENUE & 31ST STREET     ,00032595,00001472,00000146,00000452,00000018,00012368,00037114,00000000,00000000,00000000,00000000,00000158,00000000,00000041,00001303,00000330,00000337,00000000,00000115,00000000,00000000,00000000,00000000,                                                                                                                               
R094,ASTORIA BLVD & 31ST STREET    ,00028563,00000958,00000097,00000237,00000015,00010180,00030208,00000000,00000000,00000000,00000000,00000254,00000000,00000012,00001305,00000266,00000224,00000000,00000134,00000000,00000000,00000000,00000000,                                                                                                                               
R095,DITMARS BLVD & 31ST STREET    ,00038908,00001685,00000158,00000339,00000009,00011177,00040971,00000000,00000000,00000000,00000000,00000341,00000001,00000038,00001516,00000333,00000387,00000000,00000095,00000000,00000000,00000000,00000000,                                                                                                                               
R096,82ND STREET-JACKSON HEIGHTS   ,00037395,00002696,00000326,00000685,00000006,00019582,00023430,00000000,00000000,00000000,00000000,00000095,00000000,00000017,00000972,00000129,00000105,00000000,00000087,00000000,00000000,00000000,00000000,                                                                                                                               
R097,JUNCTION BLVD-ROOSEVELT AVE   ,00064314,00001542,00000253,00000454,00000015,00033236,00025776,00000000,00000000,00000000,00000000,00000068,00000000,00000010,00000907,00000077,00000045,00000000,00000105,00000000,00000000,00000000,00000000,                                                                                                                               
R098,CHURCH AVENUE                 ,00037451,00001917,00000363,00000900,00000020,00021998,00027029,00000000,00000000,00000000,00000000,00000129,00000000,00000024,00001571,00000135,00000142,00000000,00000202,00000000,00000000,00000000,00000000,                                                                                                                               
R099,DEKALB AVENUE                 ,00035939,00001659,00000200,00000788,00000029,00013276,00033163,00000000,00000000,00000000,00000000,00000244,00000000,00000078,00001467,00000369,00000327,00000000,00000215,00000000,00000000,00000000,00000000,                                                                                                                               
R100,METROPOLITAN AVENUE           ,00009032,00000399,00000053,00000119,00000004,00003176,00005187,00000000,00000000,00000000,00000000,00000075,00000000,00000001,00000263,00000104,00000019,00000000,00000021,00000000,00000000,00000000,00000000,                                                                                                                               
R101,145TH STREET                  ,00044739,00001702,00000399,00000835,00000024,00031635,00043535,00000000,00000000,00000000,00000000,00000109,00000000,00000061,00001981,00000214,00000281,00000000,00000203,00000000,00000000,00000000,00000000,                                                                                                                               
R102,125TH STREET                  ,00058606,00002695,00000672,00001326,00000024,00038528,00046414,00000000,00000000,00000000,00000000,00000139,00000000,00000132,00002401,00000323,00000284,00000000,00000320,00000000,00000000,00000000,00000000,                                                                                                                               
R103,BROADWAY-EAST NEW YORK        ,00020174,00000669,00000257,00000365,00000012,00013106,00009218,00000000,00000000,00000000,00000000,00000027,00000000,00000008,00000565,00000031,00000018,00000000,00000079,00000000,00000000,00000000,00000000,                                                                                                                               
R104,167TH ST-GRAND CONCOURSE      ,00021339,00000751,00000139,00000251,00000002,00017111,00011600,00000000,00000000,00000000,00000000,00000059,00000000,00000012,00000836,00000035,00000029,00000000,00000076,00000000,00000000,00000000,00000000,                                                                                                                               
R105,14TH STREET & 7TH AVENUE      ,00065419,00004658,00000334,00001338,00000208,00023472,00051712,00000000,00000000,00000000,00000000,00000529,00000000,00000314,00002502,00000795,00000416,00000000,00000517,00000000,00000000,00000000,00000000,                                                                                                                               
R106,CASTLE HILL AVENUE            ,00017801,00000728,00000144,00000218,00000007,00009877,00009556,00000000,00000000,00000000,00000000,00000070,00000000,00000013,00000801,00000065,00000032,00000000,00000054,00000000,00000000,00000000,00000000,                                                                                                                               
R107,WESTCHESTER SQUARE            ,00011760,00000607,00000113,00000243,00000003,00007115,00007396,00000000,00000000,00000000,00000000,00000037,00000000,00000010,00000400,00000066,00000030,00000000,00000084,00000000,00000000,00000000,00000000,                                                                                                                               
R108,BOROUGH HALL - COURT STREET   ,00092922,00006584,00000514,00001574,00000377,00025440,00068336,00000000,00000000,00000000,00000000,00000801,00000000,00000998,00003133,00001224,00000558,00000000,00000489,00000000,00000000,00000000,00000000,                                                                                                                               
R109,CHURCH AVENUE & NOSTRAND AV   ,00022627,00001131,00000253,00000418,00000002,00012861,00011629,00000000,00000000,00000000,00000000,00000058,00000000,00000015,00000961,00000041,00000052,00000000,00000096,00000000,00000000,00000000,00000000,                                                                                                                               
